realization_key,family,rho,b,config_id,reference_cell,s_source,s,s_naive_pooled,s_minus_s_naive,n_appearances,n_unique,unique_rows_multiplicity_1,duplicated_unique_rows,duplicated_appearances,max_multiplicity,sum_weights,max_abs_rowweight_minus_one,mean_u,estimation_evaluations,oos_used_in_estimation
posthoc:C:b=1.160457945844737,C-posthoc,,1.160457945844737,,,dev_oof_row_balanced_D3,1.0430041912459604,1.0398916250262016,0.003112566219758861,151153,130165,109177,20988,41976,2,130165.0,0.0,-0.008122942646040425,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=1.1603673641139836,A-posthoc,,1.1603673641139836,,,dev_oof_row_balanced_D3,1.0429306797423497,1.0400272015349048,0.002903478207444854,151153,130165,109177,20988,41976,2,130165.0,0.0,-0.008118445990927788,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:fb9e0c7172609cb1,Direct,0.0104811313415468,,fb9e0c7172609cb1,,dev_oof_row_balanced_D3,1.0628600027643158,1.060748384457501,0.002111618306814833,151153,130165,109177,20988,41976,2,130165.0,0.0,0.021357996582578417,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:f0344de1bfdf0997,Surrogate,0.0104811313415468,,f0344de1bfdf0997,,dev_oof_row_balanced_D3,1.0633031234334878,1.0610337890360861,0.0022693343974016233,151153,130165,109177,20988,41976,2,130165.0,0.0,0.02179325572210355,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:f4658932d5e4d8f2,Direct,0.1,,f4658932d5e4d8f2,,dev_oof_row_balanced_D3,1.0613917587260848,1.0592257150574298,0.0021660436686550266,151153,130165,109177,20988,41976,2,130165.0,0.0,0.02001974250625375,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:d180237df9651574,Surrogate,0.1,,d180237df9651574,,dev_oof_row_balanced_D3,1.0658378300143807,1.0635473399215458,0.002290490092834885,151153,130165,109177,20988,41976,2,130165.0,0.0,0.023677727018005624,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:e732a8e35bd1a796,Direct,0.954095476349994,,e732a8e35bd1a796,,dev_oof_row_balanced_D3,1.0590309174838803,1.0566874133675657,0.0023435041163146764,151153,130165,109177,20988,41976,2,130165.0,0.0,0.017190480446043384,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:4a39ef84979943f2,Surrogate,0.954095476349994,,4a39ef84979943f2,,dev_oof_row_balanced_D3,1.0765193756770512,1.0739986047675172,0.0025207709095340647,151153,130165,109177,20988,41976,2,130165.0,0.0,0.030883368291915153,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:c4e386c3295790e0,Direct,10.481131341546853,,c4e386c3295790e0,,dev_oof_row_balanced_D3,1.055630791994793,1.053416239943477,0.0022145520513159322,151153,130165,109177,20988,41976,2,130165.0,0.0,0.010866535120648908,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:036679c4ab8799e9,Surrogate,10.481131341546853,,036679c4ab8799e9,,dev_oof_row_balanced_D3,1.111552399663168,1.1084918065321385,0.0030605931310294654,151153,130165,109177,20988,41976,2,130165.0,0.0,0.05399618884774853,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBCovPenalty:a72f544c5161823f,Direct,100.0,,a72f544c5161823f,,dev_oof_row_balanced_D3,1.0664966554788333,1.0627889442407652,0.003707711238068123,151153,130165,109177,20988,41976,2,130165.0,0.0,0.00787210544883129,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:d5704816049673ad,Surrogate,100.0,,d5704816049673ad,,dev_oof_row_balanced_D3,1.1426916234337632,1.138756117808577,0.003935505625186186,151153,130165,109177,20988,41976,2,130165.0,0.0,0.07383416152830465,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
