realization_key,evaluation,metric,fast,canonical,rel_diff
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,COD,21.62855026934287,21.62855026934287,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,COV,0.3373034777044344,0.3373034777044344,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,PRD,1.0689636372780553,1.0689636372780553,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,PRB,-0.08744183595858873,-0.08744183595858873,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,MKI,0.9256285930157827,0.9256285930157827,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,VEI,-26.46213149215235,-26.46213149215235,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,beta_log,-0.1413074854595518,-0.1413074854595518,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,Cov_log_residual_log_price,-0.07496208295564577,-0.07496208295564577,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,dCor_e_y,0.38488780137025214,0.38488780137025214,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,R2_price,0.8928057475281441,0.8928057475281441,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,MAE_price,75976.1106499468,75976.1106499468,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,MAPE,0.2119156219475608,0.2119156219475608,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,median_ratio,0.9275481846415189,0.9275481846415189,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,mean_ratio,0.9861214614169409,0.9861214614169409,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,weighted_mean_ratio,0.9225120111515642,0.9225120111515642,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,COD,21.599292632793087,21.599292632793087,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,COV,0.39553129554442423,0.39553129554442423,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,PRD,1.0689524358452238,1.0689524358452238,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,PRB,-0.08844853462167883,-0.08844853462167883,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,MKI,0.9230465219737591,0.9230465219737591,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,VEI,-26.166623718966303,-26.166623718966303,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,beta_log,-0.14738109602580063,-0.14738109602580063,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,Cov_log_residual_log_price,-0.07275200887042328,-0.07275200887042328,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,dCor_e_y,0.3822452533671147,0.3822452533671147,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,R2_price,0.9038505606866807,0.9038505606866807,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,MAE_price,79139.4334340886,79139.4334340886,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,MAPE,0.20772770792388026,0.20772770792388026,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,median_ratio,0.9464364099783898,0.9464364099783898,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,mean_ratio,1.009036360772634,1.009036360772634,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,weighted_mean_ratio,0.936447660947714,0.936447660947714,0.0
